"","year","sector","income"
"80",2017,"Ketenagalistrikan",1088379.07716598
"81",2017,"Pengadaan Gas dan Produksi Es",4024825.24322781
"82",2017,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",526591.410486593
"83",2017,"Konstruksi",57511047.1450671
"84",2017,"Perdagangan Mobil Sepeda Motor dan Reparasinya",10473417.8146747
"85",2017,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",91392670.7583812
"86",2017,"Angkutan Rel",430212.281480889
"87",2017,"Angkutan Darat",28165826.9103614
"88",2017,"Angkutan Laut",88868.6353933614
"89",2017,"Angkutan Sungai Danau dan Penyeberangan",384.189771504673
"90",2017,"Angkutan Udara",4296627.13992502
"91",2017,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1375153.1314951
"92",2017,"Penyediaan Akomodasi",2806560.72501645
"93",2017,"Penyediaan Makan Minum",13621585.1700489
"94",2017,"Informasi dan Komunikasi",17191371.1280737
"95",2017,"Jasa Perantara Keuangan",12918330.5292002
"96",2017,"Asuransi dan Dana Pensiun",1454295.79171634
"97",2017,"Jasa Keuangan Lainnya",2045750.28365934
"98",2017,"Jasa Penunjang Keuangan",171131.425727307
"99",2017,"Real Estate",4886784.10084604
"100",2017,"Jasa Perusahaan",2063814.85011911
"101",2017,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",33965668.5106872
"102",2017,"Jasa Pendidikan",17951401.3147724
"103",2017,"Jasa Kesehatan dan Kegiatan Sosial",3963223.53229786
"104",2017,"Jasa lainnya",12502104.0184496
"105",2017,"Lainnya",5947.53803374465
"106",2018,"Tanaman Pangan",30237554.5169609
"107",2018,"Tanaman Hortikultura",10472141.2646189
"108",2018,"Perkebunan",4735446.01532303
"109",2018,"Peternakan",7581892.43946452
"110",2018,"Jasa Pertanian dan Perburuan ",868084.827958007
"111",2018,"Kehutanan dan Penebangan Kayu",340716.286727385
"112",2018,"Perikanan",6666656.86441551
"113",2018,"Pertambangan Minyak Gas dan Panas Bumi",9217495.33507456
"114",2018,"Pertambangan Bijih Logam",210845.858351389
"115",2018,"Pertambangan dan Penggalian Lainnya",3013727.37866503
"116",2018,"Industri Batubara dan Pengilangan Migas",9834540.96707903
"117",2018,"Industri Makanan dan Minuman",28140853.8209946
"118",2018,"Pengolahan Tembakau",1388590.2081796
"119",2018,"Industri Tekstil dan Pakaian Jadi",45945051.3564039
"120",2018,"Industri Kulit Barang dari Kulit dan Alas Kaki",4068869.91686196
"121",2018,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2309000.18354304
"122",2018,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",7424786.70030983
"123",2018,"Industri Kimia Farmasi dan Obat Tradisional",16966129.8502918
"124",2018,"Industri Karet Barang dari Karet dan Plastik",8754690.20752483
"125",2018,"Industri Barang Galian bukan Logam",5255362.84555201
"126",2018,"Industri Logam Dasar",8854526.16004723
"127",2018,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",39834148.6449073
"128",2018,"Industri Mesin dan Perlengkapan YTDL",30796055.2786621
"129",2018,"Industri Alat Angkutan",67621630.2455368
"130",2018,"Industri Furnitur",1160481.70636591
"131",2018,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2467193.00321858
"132",2018,"Ketenagalistrikan",1142798.03680438
"133",2018,"Pengadaan Gas dan Produksi Es",4226066.58044699
"134",2018,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",552921.033894793
"135",2018,"Konstruksi",60386600.1091566
"136",2018,"Perdagangan Mobil Sepeda Motor dan Reparasinya",10997109.2796194
"137",2018,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",95962315.315311
"138",2018,"Angkutan Rel",451722.92428761
"139",2018,"Angkutan Darat",29574119.9034491
"140",2018,"Angkutan Laut",93312.0818390754
"141",2018,"Angkutan Sungai Danau dan Penyeberangan",403.403546638114
"142",2018,"Angkutan Udara",4511458.72084271
"143",2018,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1443911.54891152
"144",2018,"Penyediaan Akomodasi",2946888.91021711
"145",2018,"Penyediaan Makan Minum",14302664.6497002
"146",2018,"Informasi dan Komunikasi",18050939.9843754
"147",2018,"Jasa Perantara Keuangan",13564259.9769393
"148",2018,"Asuransi dan Dana Pensiun",1527011.10294936
"149",2018,"Jasa Keuangan Lainnya",2148039.9203503
"150",2018,"Jasa Penunjang Keuangan",179688.291702902
"151",2018,"Real Estate",5131123.51312778
"152",2018,"Jasa Perusahaan",2167006.48603207
"153",2018,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",35663954.5203899
"154",2018,"Jasa Pendidikan",18848971.4060658
"155",2018,"Jasa Kesehatan dan Kegiatan Sosial",4161384.71892638
"156",2018,"Jasa lainnya",13127209.5110036
"157",2018,"Lainnya",6244.91493543188
"158",2019,"Tanaman Pangan",31749441.1526557
"159",2019,"Tanaman Hortikultura",10995748.3775156
"160",2019,"Perkebunan",4973229.65724979
"161",2019,"Peternakan",7960987.88077097
"162",2019,"Jasa Pertanian dan Perburuan ",911514.849437903
"163",2019,"Kehutanan dan Penebangan Kayu",357802.877545165
"164",2019,"Perikanan",6999990.39472866
"165",2019,"Pertambangan Minyak Gas dan Panas Bumi",9678370.56068698
"166",2019,"Pertambangan Bijih Logam",221388.17305003
"167",2019,"Pertambangan dan Penggalian Lainnya",3164413.84677991
"168",2019,"Industri Batubara dan Pengilangan Migas",10326271.7691459
"169",2019,"Industri Makanan dan Minuman",29547900.9571357
"170",2019,"Pengolahan Tembakau",1458019.75443275
"171",2019,"Industri Tekstil dan Pakaian Jadi",48242304.9903156
"172",2019,"Industri Kulit Barang dari Kulit dan Alas Kaki",4272313.48250111
"173",2019,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2424450.28390695
"174",2019,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",7796026.62018336
"175",2019,"Industri Kimia Farmasi dan Obat Tradisional",17814440.5321819
"176",2019,"Industri Karet Barang dari Karet dan Plastik",9192426.49276156
"177",2019,"Industri Barang Galian bukan Logam",5518131.20907291
"178",2019,"Industri Logam Dasar",9297252.57285256
"179",2019,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",41825856.8705869
"180",2019,"Industri Mesin dan Perlengkapan YTDL",32335860.0699184
"181",2019,"Industri Alat Angkutan",71002717.5589762
"182",2019,"Industri Furnitur",1218505.81682127
"183",2019,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2590553.35215587
"184",2019,"Ketenagalistrikan",1199937.94500272
"185",2019,"Pengadaan Gas dan Produksi Es",4437369.99203274
"186",2019,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",580567.143761671
"187",2019,"Konstruksi",63405930.7821332
"188",2019,"Perdagangan Mobil Sepeda Motor dan Reparasinya",11546987.3751762
"189",2019,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",100760443.201959
"190",2019,"Angkutan Rel",474309.102107861
"191",2019,"Angkutan Darat",31052827.7109448
"192",2019,"Angkutan Laut",97977.7020746539
"193",2019,"Angkutan Sungai Danau dan Penyeberangan",423.578439181892
"194",2019,"Angkutan Udara",4737031.90319803
"195",2019,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1516107.96328323
"196",2019,"Penyediaan Akomodasi",3094233.51957239
"197",2019,"Penyediaan Makan Minum",15017798.1254483
"198",2019,"Informasi dan Komunikasi",18953487.3134816
"199",2019,"Jasa Perantara Keuangan",14242487.1891568
"200",2019,"Asuransi dan Dana Pensiun",1603362.23190761
"201",2019,"Jasa Keuangan Lainnya",2255444.25112039
"202",2019,"Jasa Penunjang Keuangan",188673.030445347
"203",2019,"Real Estate",5387679.91674697
"204",2019,"Jasa Perusahaan",2275357.79307856
"205",2019,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",37447155.0889861
"206",2019,"Jasa Pendidikan",19791420.0044792
"207",2019,"Jasa Kesehatan dan Kegiatan Sosial",4369453.96588766
"208",2019,"Jasa lainnya",13783570.3073477
"209",2019,"Lainnya",6557.16068220348
"210",2020,"Tanaman Pangan",33336923.0110872
"211",2020,"Tanaman Hortikultura",11545535.8510238
"212",2020,"Perkebunan",5223003.61577068
"213",2020,"Peternakan",8359038.17607633
"214",2020,"Jasa Pertanian dan Perburuan ",957118.950004988
"215",2020,"Kehutanan dan Penebangan Kayu",375748.875256847
"216",2020,"Perikanan",7349990.67026682
"217",2020,"Pertambangan Minyak Gas dan Panas Bumi",10162289.5934659
"218",2020,"Pertambangan Bijih Logam",232457.605661708
"219",2020,"Pertambangan dan Penggalian Lainnya",3322634.64821868
"220",2020,"Industri Batubara dan Pengilangan Migas",10842589.4866877
"221",2020,"Industri Makanan dan Minuman",31025300.8945941
"222",2020,"Pengolahan Tembakau",1530920.78158298
"223",2020,"Industri Tekstil dan Pakaian Jadi",50654421.412532
"224",2020,"Industri Kulit Barang dari Kulit dan Alas Kaki",4485929.23340182
"225",2020,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2545672.89840775
"226",2020,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",8185828.59453643
"227",2020,"Industri Kimia Farmasi dan Obat Tradisional",18705167.1671037
"228",2020,"Industri Karet Barang dari Karet dan Plastik",9652049.76974657
"229",2020,"Industri Barang Galian bukan Logam",5794038.01289418
"230",2020,"Industri Logam Dasar",9762115.31677845
"231",2020,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",43917150.5868939
"232",2020,"Industri Mesin dan Perlengkapan YTDL",33952655.3034694
"233",2020,"Industri Alat Angkutan",74552859.8182033
"234",2020,"Industri Furnitur",1279431.13531311
"235",2020,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2720081.7884178
"236",2020,"Ketenagalistrikan",1259934.84924677
"237",2020,"Pengadaan Gas dan Produksi Es",4659238.5824541
"238",2020,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",609595.564939096
"239",2020,"Konstruksi",66576228.0555102
"240",2020,"Perdagangan Mobil Sepeda Motor dan Reparasinya",12124361.6386696
"241",2020,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",105798478.695027
"242",2020,"Angkutan Rel",498024.59197971
"243",2020,"Angkutan Darat",32605471.090047
"244",2020,"Angkutan Laut",102876.604936367
"245",2020,"Angkutan Sungai Danau dan Penyeberangan",444.762547868842
"246",2020,"Angkutan Udara",4973883.76930233
"247",2020,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1591914.28206483
"248",2020,"Penyediaan Akomodasi",3248945.37577988
"249",2020,"Penyediaan Makan Minum",15768688.2993101
"250",2020,"Informasi dan Komunikasi",19901162.0420316
"251",2020,"Jasa Perantara Keuangan",14954627.1833236
"252",2020,"Asuransi dan Dana Pensiun",1683530.97469471
"253",2020,"Jasa Keuangan Lainnya",2368219.03190461
"254",2020,"Jasa Penunjang Keuangan",198107.038540688
"255",2020,"Real Estate",5657064.16334341
"256",2020,"Jasa Perusahaan",2389126.76375213
"257",2020,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",39319515.9702707
"258",2020,"Jasa Pendidikan",20780991.0356244
"259",2020,"Jasa Kesehatan dan Kegiatan Sosial",4587926.6762985
"260",2020,"Jasa lainnya",14472749.1755885
"261",2020,"Lainnya",6885.01871631365
"262",2021,"Tanaman Pangan",35003779.9425412
"263",2021,"Tanaman Hortikultura",12122812.7036707
"264",2021,"Perkebunan",5485377.5234683
"265",2021,"Peternakan",8776991.0762766
"266",2021,"Jasa Pertanian dan Perburuan ",1005006.09150238
"267",2021,"Kehutanan dan Penebangan Kayu",394597.758323186
"268",2021,"Perikanan",7717491.03516453
"269",2021,"Pertambangan Minyak Gas dan Panas Bumi",10670404.6283598
"270",2021,"Pertambangan Bijih Logam",244080.512299965
"271",2021,"Pertambangan dan Penggalian Lainnya",3488766.50063973
"272",2021,"Industri Batubara dan Pengilangan Migas",11384723.5030283
"273",2021,"Industri Makanan dan Minuman",32576571.3179017
"274",2021,"Pengolahan Tembakau",1607466.86403371
"275",2021,"Industri Tekstil dan Pakaian Jadi",53187143.773133
"276",2021,"Industri Kulit Barang dari Kulit dan Alas Kaki",4710225.77952538
"277",2021,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2672956.65366446
"278",2021,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",8595120.73194361
"279",2021,"Industri Kimia Farmasi dan Obat Tradisional",19640430.5946176
"280",2021,"Industri Karet Barang dari Karet dan Plastik",10134654.4058219
"281",2021,"Industri Barang Galian bukan Logam",6083740.18124404
"282",2021,"Industri Logam Dasar",10250221.2094293
"283",2021,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",46113009.0762968
"284",2021,"Industri Mesin dan Perlengkapan YTDL",35650290.5217105
"285",2021,"Industri Alat Angkutan",78280509.8285399
"286",2021,"Industri Furnitur",1343402.7224947
"287",2021,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2856086.72336074
"288",2021,"Ketenagalistrikan",1322931.59940243
"289",2021,"Pengadaan Gas dan Produksi Es",4892200.61147879
"290",2021,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",640075.413574527
"291",2021,"Konstruksi",69905040.2659852
"292",2021,"Perdagangan Mobil Sepeda Motor dan Reparasinya",12730607.1048912
"293",2021,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",111088417.296089
"294",2021,"Angkutan Rel",522925.859821909
"295",2021,"Angkutan Darat",34235746.837466
"296",2021,"Angkutan Laut",108020.454717017
"297",2021,"Angkutan Sungai Danau dan Penyeberangan",467.006380677898
"298",2021,"Angkutan Udara",5222578.25580711
"299",2021,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1671511.00884978
"300",2021,"Penyediaan Akomodasi",3411392.84282121
"301",2021,"Penyediaan Makan Minum",16557123.0086248
"302",2021,"Informasi dan Komunikasi",20896220.5432978
"303",2021,"Jasa Perantara Keuangan",15702375.7407202
"304",2021,"Asuransi dan Dana Pensiun",1767708.21774233
"305",2021,"Jasa Keuangan Lainnya",2486632.8085592
"306",2021,"Jasa Penunjang Keuangan",208012.78269926
"307",2021,"Real Estate",5939917.6473464
"308",2021,"Jasa Perusahaan",2508584.29106489
"309",2021,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",41285495.2083134
"310",2021,"Jasa Pendidikan",21820040.621419
"311",2021,"Jasa Kesehatan dan Kegiatan Sosial",4817323.02344156
"312",2021,"Jasa lainnya",15196387.0225298
"313",2021,"Lainnya",7229.26965212934
"314",2022,"Tanaman Pangan",36753980.7986325
"315",2022,"Tanaman Hortikultura",12728953.4049594
"316",2022,"Perkebunan",5760992.49477674
"317",2022,"Peternakan",9215841.72062293
"318",2022,"Jasa Pertanian dan Perburuan ",1055290.70936238
"319",2022,"Kehutanan dan Penebangan Kayu",414395.229371247
"320",2022,"Perikanan",8103366.50144257
"321",2022,"Pertambangan Minyak Gas dan Panas Bumi",11203925.4705185
"322",2022,"Pertambangan Bijih Logam",256284.566905559
"323",2022,"Pertambangan dan Penggalian Lainnya",3663204.95768241
"324",2022,"Industri Batubara dan Pengilangan Migas",11953964.6743705
"325",2022,"Industri Makanan dan Minuman",34205405.800213
"326",2022,"Pengolahan Tembakau",1687840.25494398
"327",2022,"Industri Tekstil dan Pakaian Jadi",55846502.380757
"328",2022,"Industri Kulit Barang dari Kulit dan Alas Kaki",4945737.16140016
"329",2022,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2806604.60771723
"330",2022,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",9024877.54698667
"331",2022,"Industri Kimia Farmasi dan Obat Tradisional",20622457.7004053
"332",2022,"Industri Karet Barang dari Karet dan Plastik",10641389.488452
"333",2022,"Industri Barang Galian bukan Logam",6387927.48478098
"334",2022,"Industri Logam Dasar",10762732.4093935
"335",2022,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",48418660.5861722
"336",2022,"Industri Mesin dan Perlengkapan YTDL",37432807.746162
"337",2022,"Industri Alat Angkutan",82194543.0413114
"338",2022,"Industri Furnitur",1410572.89207685
"339",2022,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2998891.9896
"340",2022,"Ketenagalistrikan",1389078.18783518
"341",2022,"Pengadaan Gas dan Produksi Es",5136810.75194456
"342",2022,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",672079.261680333
"343",2022,"Konstruksi",73400293.1677513
"344",2022,"Perdagangan Mobil Sepeda Motor dan Reparasinya",13367167.5827558
"345",2022,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",116642854.293784
"346",2022,"Angkutan Rel",549072.194880404
"347",2022,"Angkutan Darat",35947536.5915402
"348",2022,"Angkutan Laut",113421.498940018
"349",2022,"Angkutan Sungai Danau dan Penyeberangan",490.362975650866
"350",2022,"Angkutan Udara",5483707.49644008
"351",2022,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1755087.6732391
"352",2022,"Penyediaan Akomodasi",3581962.70303914
"353",2022,"Penyediaan Makan Minum",17384979.4828392
"354",2022,"Informasi dan Komunikasi",21941032.0095424
"355",2022,"Jasa Perantara Keuangan",16487513.4457484
"356",2022,"Asuransi dan Dana Pensiun",1856094.39237121
"357",2022,"Jasa Keuangan Lainnya",2610967.55654235
"358",2022,"Jasa Penunjang Keuangan",218413.853287514
"359",2022,"Real Estate",6236913.83313213
"360",2022,"Jasa Perusahaan",2634014.81365151
"361",2022,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",43349773.7521986
"362",2022,"Jasa Pendidikan",22911042.6899045
"363",2022,"Jasa Kesehatan dan Kegiatan Sosial",5058189.18927455
"364",2022,"Jasa lainnya",15956206.8006329
"365",2022,"Lainnya",7590.7331347358
"366",2023,"Tanaman Pangan",38591692.8834591
"367",2023,"Tanaman Hortikultura",13365401.1479231
"368",2023,"Perkebunan",6050522.82522643
"369",2023,"Peternakan",9676635.00624073
"370",2023,"Jasa Pertanian dan Perburuan ",1108092.98947421
"371",2023,"Kehutanan dan Penebangan Kayu",435189.332554641
"372",2023,"Perikanan",8508535.83248732
"373",2023,"Pertambangan Minyak Gas dan Panas Bumi",11764122.4158598
"374",2023,"Pertambangan Bijih Logam",269098.827140521
"375",2023,"Pertambangan dan Penggalian Lainnya",3846365.35077844
"376",2023,"Industri Batubara dan Pengilangan Migas",12551668.4039035
"377",2023,"Industri Makanan dan Minuman",35915682.5982866
"378",2023,"Pengolahan Tembakau",1772232.32017066
"379",2023,"Industri Tekstil dan Pakaian Jadi",58638829.0606602
"380",2023,"Industri Kulit Barang dari Kulit dan Alas Kaki",5193024.12165864
"381",2023,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2946934.97160972
"382",2023,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",9476122.28062722
"383",2023,"Industri Kimia Farmasi dan Obat Tradisional",21653586.7190938
"384",2023,"Industri Karet Barang dari Karet dan Plastik",11173461.5614497
"385",2023,"Industri Barang Galian bukan Logam",6707324.18294253
"386",2023,"Industri Logam Dasar",11300869.1833053
"387",2023,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",50839594.7771485
"388",2023,"Industri Mesin dan Perlengkapan YTDL",39304451.1016755
"389",2023,"Industri Alat Angkutan",86304278.6868639
"390",2023,"Industri Furnitur",1481101.57348389
"391",2023,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",3148837.61215917
"392",2023,"Ketenagalistrikan",1458532.10653586
"393",2023,"Pengadaan Gas dan Produksi Es",5393651.41042292
"394",2023,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",705683.309934223
"395",2023,"Konstruksi",77070308.8034535
"396",2023,"Perdagangan Mobil Sepeda Motor dan Reparasinya",14035559.0968043
"397",2023,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",122475014.754667
"398",2023,"Angkutan Rel",576525.850898606
"399",2023,"Angkutan Darat",37744916.0745409
"400",2023,"Angkutan Laut",119092.59752291
"401",2023,"Angkutan Sungai Danau dan Penyeberangan",514.888027976151
"402",2023,"Angkutan Udara",5757893.23188938
"403",2023,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1842843.28224455
"404",2023,"Penyediaan Akomodasi",3761061.07807587
"405",2023,"Penyediaan Makan Minum",18254228.8131429
"406",2023,"Informasi dan Komunikasi",23038084.0930078
"407",2023,"Jasa Perantara Keuangan",17311909.927845
"408",2023,"Asuransi dan Dana Pensiun",1948899.95210656
"409",2023,"Jasa Keuangan Lainnya",2741519.35268298
"410",2023,"Jasa Penunjang Keuangan",229335.020550904
"411",2023,"Real Estate",6548759.85854929
"412",2023,"Jasa Perusahaan",2765716.9931719
"413",2023,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",45517266.6016281
"414",2023,"Jasa Pendidikan",24056594.8655558
"415",2023,"Jasa Kesehatan dan Kegiatan Sosial",5311098.66486529
"416",2023,"Jasa lainnya",16754017.6103392
"417",2023,"Lainnya",7970.26979147259
"418",2024,"Tanaman Pangan",40521291.8770004
"419",2024,"Tanaman Hortikultura",14033671.2853067
"420",2024,"Perkebunan",6354677.74776577
"421",2024,"Peternakan",10160468.076102
"422",2024,"Jasa Pertanian dan Perburuan ",1163539.15817547
"423",2024,"Kehutanan dan Penebangan Kayu",457030.574796127
"424",2024,"Perikanan",8933963.73068474
"425",2024,"Pertambangan Minyak Gas dan Panas Bumi",12352329.2756517
"426",2024,"Pertambangan Bijih Logam",282553.803576293
"427",2024,"Pertambangan dan Penggalian Lainnya",4038683.77805087
"428",2024,"Industri Batubara dan Pengilangan Migas",13179257.8695114
"429",2024,"Industri Makanan dan Minuman",37711473.8870911
"430",2024,"Pengolahan Tembakau",1860843.99390679
"431",2024,"Industri Tekstil dan Pakaian Jadi",61570772.2306498
"432",2024,"Industri Kulit Barang dari Kulit dan Alas Kaki",5452675.44014917
