ID,Sektor,Total_Kons,ZA,NPK,SP36,UREA,ORGANIK
46," Roti, Biskuit, dan Sejenisnya  ",0.00,0.00,0.00,0.00,0.00,0.00
47," Mie, Makaroni, dan Sejenisnya  ",0.00,0.00,0.00,0.00,0.00,0.00
48, Gula  ,0.00,0.00,0.00,0.00,0.00,0.00
49," Biji-Bijian Kupasan, Coklat Bubuk, dan Kembang Gula  ",0.00,0.00,0.00,0.00,0.00,0.00
50, Kopi Giling dan Kupasan  ,0.00,0.00,0.00,0.00,0.00,0.00
51, Makanan Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
52, Pakan Ternak  ,0.00,0.00,0.00,0.00,0.00,0.00
53, Minuman (termasuk Minuman Beralkohol)  ,0.00,0.00,0.00,0.00,0.00,0.00
54, Tembakau Olahan dan Rokok  ,0.00,0.00,0.00,0.00,0.00,0.00
55, Kapuk Bersih  ,0.00,0.00,0.00,0.00,0.00,0.00
56, Benang Sutra  ,0.00,0.00,0.00,0.00,0.00,0.00
57, Benang  ,0.00,0.00,0.00,0.00,0.00,0.00
58, Tekstil Sutera  ,0.00,0.00,0.00,0.00,0.00,0.00
59, Tekstil  ,0.00,0.00,0.00,0.00,0.00,0.00
60, Tekstil Jadi dan Pakaian Jadi  ,0.00,0.00,0.00,0.00,0.00,0.00
61," Permadani,Tali, dan Tekstil Lainnya  ",0.00,0.00,0.00,0.00,0.00,0.00
62," Kulit Samakan dan Olahan, serta Barang-Barang dari Kulit dan Alas Kaki  ",0.00,0.00,0.00,0.00,0.00,0.00
63, Kayu Gergajian dan Awetan  ,0.00,0.00,0.00,0.00,0.00,0.00
64, Kayu Lapis dan Sejenisnya  ,0.00,0.00,0.00,0.00,0.00,0.00
65, Bahan Bangunan dari Kayu  ,0.00,0.00,0.00,0.00,0.00,0.00
66," Perabot Rumah Tangga Terbuat dari Kayu, Bambu, dan Rotan  ",0.00,0.00,0.00,0.00,0.00,0.00
67," Kertas dan Barang-Barang dari Kertas dan Karton, termasuk Barang-Barang Cetakan  ",0.00,0.00,0.00,0.00,0.00,0.00
68, Pupuk dan Pestisida  ,0.00,0.00,0.00,0.00,0.00,0.00
69, Barang-Barang Kimia Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
70, Barang-Barang Hasil Kilang Minyak  ,0.00,0.00,0.00,0.00,0.00,0.00
71, Karet dan Barang-Barang dari Karet  ,0.00,0.00,0.00,0.00,0.00,0.00
72, Barang-Barang Plastik  ,0.00,0.00,0.00,0.00,0.00,0.00
73, Bahan Bangunan dari Keramik dan Tanah Liat  ,0.00,0.00,0.00,0.00,0.00,0.00
74, Semen  ,0.00,0.00,0.00,0.00,0.00,0.00
75, Barang-Barang Lainnya dari Bahan Bukan Logam  ,0.00,0.00,0.00,0.00,0.00,0.00
76, Besi dan Baja Dasar  ,0.00,0.00,0.00,0.00,0.00,0.00
77, Barang-Barang dari Besi dan Baja Dasar  ,0.00,0.00,0.00,0.00,0.00,0.00
78, Seng  ,0.00,0.00,0.00,0.00,0.00,0.00
79, Barang-Barang dari Logam kecuali Mesin dan Peralatannya  ,0.00,0.00,0.00,0.00,0.00,0.00
80, Mesin dan Peralatan dan Perlengkapannya termasuk Alat Listrik dan Bahan-Bahan Keperluan Listrik  ,0.00,0.00,0.00,0.00,0.00,0.00
81, Alat Angkutan Laut  ,0.00,0.00,0.00,0.00,0.00,0.00
82, Alat Angkutan Darat  ,0.00,0.00,0.00,0.00,0.00,0.00
83, Alat Pengangkutan Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
84, Barang-Barang Industri Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
85, Listrik dan Gas  ,0.00,0.00,0.00,0.00,0.00,0.00
86, Air Bersih  ,0.00,0.00,0.00,0.00,0.00,0.00
87, Bangunan Tempat Tinggal dan Bukan Tempat Tinggal  ,0.00,0.00,0.00,0.00,0.00,0.00
88, Prasarana Pertanian  ,0.00,0.00,0.00,0.00,0.00,0.00
89, Jalan Jembatan dan Pelabuhan  ,0.00,0.00,0.00,0.00,0.00,0.00
90," Bangunan dan Instalasi Listrik, Gas, Air Minum, dan Komunikasi  ",0.00,0.00,0.00,0.00,0.00,0.00
91, Bangunan Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
92, Jasa Perdagangan  ,0.00,0.00,0.00,0.00,0.00,0.00
93, Jasa Perbengkelan  ,0.00,0.00,0.00,0.00,0.00,0.00
94, Jasa Restoran  ,0.00,0.00,0.00,0.00,0.00,0.00
95, Jasa Perhotelan  ,0.00,0.00,0.00,0.00,0.00,0.00
96, Jasa Angkutan Jalan Raya  ,0.00,0.00,0.00,0.00,0.00,0.00
97, Jasa Angkutan Laut  ,0.00,0.00,0.00,0.00,0.00,0.00
98, Jasa Angkutan Udara  ,0.00,0.00,0.00,0.00,0.00,0.00
99, Jasa Penunjang Angkutan  ,0.00,0.00,0.00,0.00,0.00,0.00
100, Jasa Komunikasi  ,0.00,0.00,0.00,0.00,0.00,0.00
101, Bank  ,0.00,0.00,0.00,0.00,0.00,0.00
102, Lembaga Keuangan Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
103, Asuransi dan Dana Pensiun  ,0.00,0.00,0.00,0.00,0.00,0.00
104, Sewa Bangunan dan Sewa Tanah  ,0.00,0.00,0.00,0.00,0.00,0.00
105, Jasa Perusahaan  ,0.00,0.00,0.00,0.00,0.00,0.00
106, Jasa Pemerintahan Umum  ,0.00,0.00,0.00,0.00,0.00,0.00
107, Jasa Pendidikan  ,0.00,0.00,0.00,0.00,0.00,0.00
108, Jasa Kesehatan  ,0.00,0.00,0.00,0.00,0.00,0.00
109, Jasa Kemasyarakatan Lainnya  ,0.00,0.00,0.00,0.00,0.00,0.00
110, Jasa Hiburan Rekreasi dan Kebudayaan  ,0.00,0.00,0.00,0.00,0.00,0.00
111, Jasa Perorangan dan Rumah Tangga  ,0.00,0.00,0.00,0.00,0.00,0.00
112, Barang dan Jasa yang Tidak Masuk Dimanapun  ,0.00,0.00,0.00,0.00,0.00,0.00
